0.0649432,0.988975,0.0649432,0.988975,0.0174248,-0.0174248,-0.000838854,-0.00780255,
0.14182,0.686416,0.14182,0.686416,0.0281162,-0.0281162,-0.000480191,0.0256224,
0.16481,0.0139702,0.16481,0.0139702,0.0286095,-0.0286095,0.00363238,0.0787402,
0.142273,-0.350056,0.142273,-0.350056,0.0220081,-0.0220081,0.0118911,0.126553,
0.102232,-0.438325,0.102232,-0.438325,0.0122966,-0.0122966,0.0234296,0.161126,
0.0613241,-0.408319,0.0613241,-0.408319,0.0024895,-0.0024895,0.0371602,0.18268,
0.0259538,-0.338679,0.0259538,-0.338679,-0.00567035,0.00567035,0.0521186,0.193202,
-0.00179797,-0.256765,-0.00179797,-0.256765,-0.0114779,0.0114779,0.0675198,0.194954,
-0.021617,-0.176075,-0.021617,-0.176075,-0.0149154,0.0149154,0.0827665,0.190283,
-0.034214,-0.105608,-0.034214,-0.105608,-0.0163419,0.0163419,0.0974456,0.181405,
-0.0408873,-0.0499077,-0.0408873,-0.0499077,-0.0162674,0.0162674,0.111306,0.170183,
-0.0431283,-0.00968741,-0.0431283,-0.00968741,-0.0152083,0.0152083,0.124228,0.158032,
-0.0423465,0.0166493,-0.0423465,0.0166493,-0.0136096,0.0136096,0.136182,0.145936,
-0.0397279,0.0317242,-0.0397279,0.0317242,-0.0118124,0.0118124,0.147203,0.134506,
-0.0361866,0.0383924,-0.0361866,0.0383924,-0.0100511,0.0100511,0.157361,0.124066,
-0.0323711,0.0393031,-0.0323711,0.0393031,-0.00846673,0.00846673,0.166739,0.11473,
-0.0286989,0.0366756,-0.0286989,0.0366756,-0.00712681,0.00712681,0.175427,0.106475,
-0.0254038,0.0322189,-0.0254038,0.0322189,-0.00604684,0.00604684,0.183506,0.0992011,
-0.0225853,0.0271438,-0.0225853,0.0271438,-0.00520919,0.00520919,0.191047,0.0927688,
-0.0202527,0.0222298,-0.0202527,0.0222298,-0.00457842,0.00457842,0.198113,0.0870339,
-0.0183615,0.017914,-0.0183615,0.017914,-0.00411238,0.00411238,0.204751,0.0818624,
-0.0168409,0.0143839,-0.0168409,0.0143839,-0.00376966,0.00376966,0.211001,0.0771407,
-0.0156127,0.0116596,-0.0156127,0.0116596,-0.00351383,0.00351383,0.216896,0.0727781,
-0.0146033,0.00966205,-0.0146033,0.00966205,-0.00331538,0.00331538,0.222459,0.0687067,
-0.0137499,0.00826371,-0.0137499,0.00826371,-0.00315212,0.00315212,0.227712,0.0648778,
-0.0130033,0.00732367,-0.0130033,0.00732367,-0.00300851,0.00300851,0.232673,0.0612582,
-0.0123272,0.00670974,-0.0123272,0.00670974,-0.00287455,0.00287455,0.237356,0.0578261,
-0.011697,0.00631015,-0.011697,0.00631015,-0.00274452,0.00274452,0.241776,0.0545678,
-0.0110976,0.00603786,-0.0110976,0.00603786,-0.00261572,0.00261572,0.245947,0.0514744,
-0.0105206,0.00583025,-0.0105206,0.00583025,-0.00248744,0.00248744,0.24988,0.0485396,
-0.00996237,0.00564601,-0.00996237,0.00564601,-0.00236011,0.00236011,0.253588,0.0457588,
-0.00942221,0.00546084,-0.00942221,0.00546084,-0.00223472,0.00223472,0.257084,0.0431273,
-0.008901,0.00526301,-0.008901,0.00526301,-0.0021124,0.0021124,0.260378,0.0406403,
-0.00840019,0.00504924,-0.00840019,0.00504924,-0.00199418,0.00199418,0.263482,0.0382924,
-0.00792122,0.00482142,-0.00792122,0.00482142,-0.00188084,0.00188084,0.266406,0.036078,
-0.00746515,0.00458406,-0.00746515,0.00458406,-0.00177291,0.00177291,0.269161,0.0339908,
-0.00703258,0.00434254,-0.00703258,0.00434254,-0.00167068,0.00167068,0.271757,0.0320245,
-0.00662357,0.00410199,-0.00662357,0.00410199,-0.0015742,0.0015742,0.274203,0.0301726,
-0.00623775,0.00386671,-0.00623775,0.00386671,-0.00148338,0.00148338,0.276507,0.0284285,
-0.00587439,0.00363992,-0.00587439,0.00363992,-0.00139799,0.00139799,0.278679,0.0267862,
-0.00553251,0.00342374,-0.00553251,0.00342374,-0.00131776,0.00131776,0.280724,0.0252395,
-0.00521101,0.00321936,-0.00521101,0.00321936,-0.00124236,0.00124236,0.282652,0.0237828,
-0.0049087,0.00302721,-0.0049087,0.00302721,-0.00117149,0.00117149,0.284469,0.0224106,
-0.00462439,0.00284715,-0.00462439,0.00284715,-0.00110482,0.00110482,0.28618,0.021118,
-0.00435693,0.00267869,-0.00435693,0.00267869,-0.00104206,0.00104206,0.287793,0.0199001,
-0.00410524,0.00252114,-0.00410524,0.00252114,-0.000982946,0.000982946,0.289313,0.0187526,
-0.00386829,0.00237372,-0.00386829,0.00237372,-0.000927232,0.000927232,0.290745,0.0176714,
-0.00364516,0.00223562,-0.00364516,0.00223562,-0.000874699,0.000874699,0.292095,0.0166525,
-0.00343497,0.00210608,-0.00343497,0.00210608,-0.000825148,0.000825148,0.293367,0.0156924,
-0.00323693,0.00198442,-0.00323693,0.00198442,-0.000778401,0.000778401,0.294566,0.0147876,
-0.00305032,0.00187001,-0.00305032,0.00187001,-0.000734293,0.000734293,0.295695,0.0139349,
-0.00287446,0.00176233,-0.00287446,0.00176233,-0.000692673,0.000692673,0.296759,0.0131314,
-0.00270872,0.0016609,-0.00270872,0.0016609,-0.000653401,0.000653401,0.297762,0.0123743,
-0.00255252,0.00156531,-0.00255252,0.00156531,-0.000616345,0.000616345,0.298708,0.0116608,
-0.00240532,0.0014752,-0.00240532,0.0014752,-0.000581383,0.000581383,0.299598,0.0109884,
